fecha_hora,temperatura,humedad,presion,clima,estado_clima,ciudad,pais
2025-02-07 22:45:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:46:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:47:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:47:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:47:09,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:48:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:49:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:50:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:51:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:52:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:53:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:54:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:55:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:56:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:57:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:58:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 22:59:04,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:00:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:05:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:10:03,3.29,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:15:04,2.73,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:20:03,2.73,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:25:04,2.73,74,1028,Clouds,broken clouds,Italy,IT
2025-02-07 23:30:04,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-07 23:35:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-07 23:40:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-07 23:45:03,3.85,74,1027,Clouds,broken clouds,Italy,IT
2025-02-07 23:50:03,3.85,74,1027,Clouds,broken clouds,Italy,IT
2025-02-07 23:55:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:00:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:05:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:10:04,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:15:03,3.85,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:20:03,3.85,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:25:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:30:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:35:03,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:40:02,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:45:02,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:50:02,3.29,74,1027,Clouds,broken clouds,Italy,IT
2025-02-08 00:55:02,2.73,73,1027,Clouds,broken clouds,Italy,IT
2025-02-08 01:00:02,2.73,73,1027,Clouds,broken clouds,Italy,IT
2025-02-08 01:50:03,3.85,74,1028,Clouds,overcast clouds,Italy,IT
2025-02-08 02:00:03,4.4,74,1028,Clouds,overcast clouds,Italy,IT
2025-02-08 08:23:02,10.82,47,1023,Clouds,overcast clouds,Italy,IT
2025-02-08 08:26:36,10.82,47,1023,Clouds,overcast clouds,Italy,IT
2025-02-08 14:05:33,5.51,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:35:07,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:35:22,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:40:08,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:45:06,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:50:08,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 14:55:08,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:00:07,6.07,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:05:10,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:10:10,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:15:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:20:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:25:10,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:30:10,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:35:13,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:40:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:45:08,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:50:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 15:55:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 16:00:08,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 16:05:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 16:10:05,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 16:15:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
2025-02-08 16:20:07,6.62,74,1025,Clouds,overcast clouds,Italy,IT
